miRNA	Gene	Score
hsa-miR-5196-3p	FGF22	0.662
hsa-miR-5196-3p	AMBP	0.406
hsa-miR-4314	AMBP	1.06
hsa-miR-4314	FGF22	0.413
hsa-miR-3681-3p	FGF22	0.428
hsa-miR-3681-3p	AMBP	0.192
hsa-miR-2114-3p	AMBP	0.0
hsa-miR-2114-3p	FGF22	0.0
hsa-miR-5692a	FGF22	0.0
hsa-miR-5692a	AMBP	0.0
hsa-miR-615-5p	AMBP	0.0
hsa-miR-615-5p	FGF22	0.0
hsa-miR-3677-3p	FGF22	0.17
hsa-miR-3677-3p	AMBP	0.0
hsa-miR-138-1-3p	FGF22	0.203
hsa-miR-138-1-3p	AMBP	0.203
hsa-miR-4641	FGF22	0.0
hsa-miR-4641	AMBP	0.0
hsa-miR-370-5p	AMBP	0.218
hsa-miR-370-5p	FGF22	0.246
hsa-miR-4732-5p	AMBP	0.0
hsa-miR-4732-5p	FGF22	0.0
hsa-miR-6760-3p	AMBP	0.0
hsa-miR-6760-3p	FGF22	0.359
hsa-miR-7162-5p	FGF22	0.147
hsa-miR-7162-5p	AMBP	0.0
hsa-miR-8060	FGF22	0.0
hsa-miR-8060	AMBP	0.0
hsa-miR-1237-5p	FGF22	0.232
hsa-miR-1237-5p	AMBP	0.0
hsa-miR-4421	FGF22	0.0
hsa-miR-4421	AMBP	0.0
hsa-miR-3195	AMBP	0.087
hsa-miR-3195	FGF22	1.24
hsa-miR-193a-5p	AMBP	0.567
hsa-miR-193a-5p	FGF22	0.478
hsa-miR-4486	AMBP	1.486
hsa-miR-4486	FGF22	0.921
hsa-miR-4534	AMBP	0.923
hsa-miR-4534	FGF22	0.741
hsa-miR-2278	FGF22	0.181
hsa-miR-2278	AMBP	0.0
hsa-miR-892c-5p	AMBP	0.254
hsa-miR-892c-5p	FGF22	0.161
hsa-miR-1179	AMBP	0.0
hsa-miR-1179	FGF22	0.094
hsa-miR-6834-3p	FGF22	0.263
hsa-miR-6834-3p	AMBP	0.0
hsa-miR-380-5p	AMBP	0.333
hsa-miR-380-5p	FGF22	0.0
hsa-miR-6759-3p	FGF22	0.0
hsa-miR-6759-3p	AMBP	0.0
hsa-miR-19b-1-5p	AMBP	0.0
hsa-miR-19b-1-5p	FGF22	0.0
hsa-miR-500a-5p	AMBP	0.0
hsa-miR-500a-5p	FGF22	0.0
hsa-miR-744-5p	AMBP	0.0
hsa-miR-744-5p	FGF22	0.579
hsa-miR-26a-2-3p	AMBP	0.0
hsa-miR-26a-2-3p	FGF22	0.0
hsa-miR-3605-3p	AMBP	0.268
hsa-miR-3605-3p	FGF22	0.247
hsa-miR-34a-3p	FGF22	0.0
hsa-miR-34a-3p	AMBP	0.0
hsa-miR-4677-3p	FGF22	0.0
hsa-miR-758-3p	AMBP	0.0
hsa-miR-758-3p	FGF22	0.041
hsa-miR-3122	FGF22	0.033
hsa-miR-3122	AMBP	0.0
hsa-miR-6732-5p	AMBP	0.0
hsa-miR-6732-5p	FGF22	0.308
hsa-miR-4274	AMBP	0.52
hsa-miR-4274	FGF22	0.316
hsa-miR-598-5p	FGF22	0.103
hsa-miR-598-5p	AMBP	0.0
hsa-miR-4465	AMBP	0.056
hsa-miR-4465	FGF22	0.017
hsa-miR-548ar-3p	AMBP	0.0
hsa-miR-548ar-3p	FGF22	0.0
hsa-miR-4690-3p	FGF22	0.835
hsa-miR-4690-3p	AMBP	0.473
hsa-miR-202-5p	AMBP	0.022
hsa-miR-202-5p	FGF22	0.291
hsa-miR-378d	AMBP	0.224
hsa-miR-378d	FGF22	0.0
hsa-miR-6765-5p	FGF22	0.0
hsa-miR-6765-5p	AMBP	0.0
hsa-miR-6511a-5p	AMBP	0.0
hsa-miR-6511a-5p	FGF22	0.122
hsa-miR-1267	FGF22	0.192
hsa-miR-1267	AMBP	0.565
hsa-miR-4668-5p	FGF22	0.0
hsa-miR-4668-5p	AMBP	0.0
hsa-miR-6730-3p	AMBP	0.0
hsa-miR-6730-3p	FGF22	0.688
hsa-miR-4671-5p	AMBP	0.0
hsa-miR-4671-5p	FGF22	0.0
hsa-miR-920	FGF22	1.082
hsa-miR-920	AMBP	0.551
hsa-miR-6826-5p	FGF22	0.0
hsa-miR-6826-5p	AMBP	0.0
hsa-miR-5092	AMBP	0.0
hsa-miR-5092	FGF22	0.0
hsa-miR-135a-3p	FGF22	0.0
hsa-miR-135a-3p	AMBP	0.0
hsa-miR-516a-3p	FGF22	0.77
hsa-miR-516a-3p	AMBP	1.183
hsa-miR-548b-5p	AMBP	0.0
hsa-miR-548b-5p	FGF22	0.0
hsa-miR-4513	FGF22	0.0
hsa-miR-4513	AMBP	0.0
hsa-miR-518e-5p	AMBP	0.0
hsa-miR-518e-5p	FGF22	0.0
hsa-miR-205-5p	AMBP	0.279
hsa-miR-205-5p	FGF22	0.0
hsa-miR-593-3p	AMBP	0.385
hsa-miR-593-3p	FGF22	0.327
hsa-miR-6836-5p	FGF22	0.222
hsa-miR-6836-5p	AMBP	0.245
hsa-miR-6515-5p	AMBP	0.079
hsa-miR-6515-5p	FGF22	0.0
hsa-miR-653-5p	FGF22	0.0
hsa-miR-653-5p	AMBP	0.0
hsa-miR-6503-5p	AMBP	0.085
hsa-miR-6503-5p	FGF22	0.092
hsa-miR-6504-5p	AMBP	0.025
hsa-miR-6504-5p	FGF22	0.0
hsa-miR-627-5p	FGF22	0.0
hsa-miR-627-5p	AMBP	0.0
hsa-miR-3618	FGF22	0.0
hsa-miR-3618	AMBP	0.0
hsa-miR-5186	AMBP	0.0
hsa-miR-5186	FGF22	0.0
hsa-miR-513a-3p	AMBP	0.0
hsa-miR-513a-3p	FGF22	0.0
hsa-miR-210-5p	AMBP	0.0
hsa-miR-210-5p	FGF22	0.122
hsa-miR-5196-5p	FGF22	0.0
hsa-miR-5196-5p	AMBP	0.0
hsa-miR-6078	FGF22	0.598
hsa-miR-6078	AMBP	0.0
hsa-miR-4708-3p	AMBP	0.0
hsa-miR-4708-3p	FGF22	0.0
hsa-miR-3173-5p	AMBP	0.0
hsa-miR-3173-5p	FGF22	0.389
hsa-miR-4748	FGF22	0.0
hsa-miR-4748	AMBP	0.295
hsa-miR-4302	FGF22	1.137
hsa-miR-4302	AMBP	0.556
hsa-miR-4735-3p	AMBP	0.051
hsa-miR-4735-3p	FGF22	0.063
hsa-miR-223-3p	AMBP	0.0
hsa-miR-223-3p	FGF22	0.146
hsa-miR-142-5p	FGF22	0.0
hsa-miR-142-5p	AMBP	0.0
hsa-miR-6803-3p	FGF22	0.443
hsa-miR-6803-3p	AMBP	0.134
hsa-miR-6511a-3p	AMBP	0.0
hsa-miR-6511a-3p	FGF22	0.148
hsa-miR-507	AMBP	0.0
hsa-miR-507	FGF22	0.0
hsa-miR-5583-5p	FGF22	0.0
hsa-miR-5583-5p	AMBP	0.0
hsa-miR-3171	FGF22	0.0
hsa-miR-3171	AMBP	0.0
hsa-miR-3908	FGF22	0.0
hsa-miR-3908	AMBP	0.242
hsa-miR-4761-5p	AMBP	0.0
hsa-miR-4761-5p	FGF22	0.0
hsa-miR-8053	AMBP	0.0
hsa-miR-8053	FGF22	0.0
hsa-miR-186-3p	AMBP	0.0
hsa-miR-186-3p	FGF22	0.0
hsa-miR-3689d	AMBP	0.0
hsa-miR-3689d	FGF22	0.0
hsa-miR-6769b-3p	AMBP	0.663
hsa-miR-6769b-3p	FGF22	0.524
hsa-miR-7106-3p	FGF22	0.185
hsa-miR-7106-3p	AMBP	0.104
hsa-miR-10a-3p	FGF22	0.0
hsa-miR-10a-3p	AMBP	0.0
hsa-miR-6815-3p	AMBP	0.37
hsa-miR-6815-3p	FGF22	0.472
hsa-miR-6088	FGF22	0.264
hsa-miR-6088	AMBP	0.0
hsa-miR-200a-5p	AMBP	0.0
hsa-miR-200a-5p	FGF22	0.0
hsa-miR-3202	AMBP	0.032
hsa-miR-3202	FGF22	0.0
hsa-miR-6833-5p	AMBP	0.0
hsa-miR-6833-5p	FGF22	0.0
hsa-miR-943	FGF22	0.413
hsa-miR-943	AMBP	0.464
hsa-miR-6883-5p	AMBP	0.032
hsa-miR-6883-5p	FGF22	0.432
hsa-miR-6890-3p	AMBP	0.49
hsa-miR-6890-3p	FGF22	0.758
hsa-let-7b-3p	FGF22	0.0
hsa-let-7b-3p	AMBP	0.0
hsa-miR-3149	FGF22	0.0
hsa-miR-3149	AMBP	0.0
hsa-miR-6878-5p	AMBP	0.0
hsa-miR-6878-5p	FGF22	0.0
hsa-miR-146b-3p	FGF22	0.151
hsa-miR-146b-3p	AMBP	0.088
hsa-miR-4731-5p	AMBP	0.0
hsa-miR-4731-5p	FGF22	0.0
hsa-let-7g-3p	FGF22	0.19
hsa-let-7g-3p	AMBP	0.027
hsa-miR-5590-5p	AMBP	0.316
hsa-miR-5590-5p	FGF22	0.24
hsa-miR-551b-5p	FGF22	0.0
hsa-miR-551b-5p	AMBP	0.0
hsa-miR-302a-5p	AMBP	0.0
hsa-miR-302a-5p	FGF22	0.0
hsa-miR-769-5p	AMBP	0.0
hsa-miR-769-5p	FGF22	0.608
hsa-miR-3186-3p	FGF22	0.0
hsa-miR-3186-3p	AMBP	0.0
hsa-miR-19a-3p	FGF22	0.0
hsa-miR-19a-3p	AMBP	0.0
hsa-miR-381-5p	FGF22	0.0
hsa-miR-381-5p	AMBP	0.0
hsa-miR-6741-3p	FGF22	0.313
hsa-miR-6741-3p	AMBP	0.0
hsa-miR-7155-5p	AMBP	0.0
hsa-miR-7155-5p	FGF22	0.384
hsa-miR-6845-5p	FGF22	0.879
hsa-miR-6845-5p	AMBP	0.482
hsa-miR-544b	AMBP	0.256
hsa-miR-544b	FGF22	0.0
hsa-miR-4505	FGF22	0.652
hsa-miR-4505	AMBP	1.258
hsa-miR-8073	FGF22	0.0
hsa-miR-4633-3p	AMBP	0.0
hsa-miR-4633-3p	FGF22	0.213
hsa-miR-4694-5p	FGF22	0.0
hsa-miR-4694-5p	AMBP	0.0
hsa-miR-3677-5p	FGF22	0.153
hsa-miR-3677-5p	AMBP	0.0
hsa-miR-7848-3p	AMBP	0.0
hsa-miR-7848-3p	FGF22	0.0
hsa-miR-4491	FGF22	0.0
hsa-miR-4491	AMBP	0.0
hsa-miR-668-3p	FGF22	0.095
hsa-miR-668-3p	AMBP	0.004
hsa-miR-938	AMBP	0.33
hsa-miR-938	FGF22	0.192
hsa-miR-3074-3p	FGF22	0.0
hsa-miR-3074-3p	AMBP	0.0
hsa-miR-6716-3p	AMBP	0.0
hsa-miR-6716-3p	FGF22	0.199
hsa-miR-342-3p	FGF22	0.0
hsa-miR-342-3p	AMBP	0.0
hsa-miR-584-5p	AMBP	0.0
hsa-miR-584-5p	FGF22	0.0
hsa-miR-5587-5p	AMBP	0.657
hsa-miR-5587-5p	FGF22	1.022
hsa-miR-298	FGF22	0.0
hsa-miR-298	AMBP	0.0
hsa-miR-8055	AMBP	0.0
hsa-miR-8055	FGF22	0.0
hsa-miR-3612	AMBP	0.07
hsa-miR-3612	FGF22	0.107
hsa-miR-542-5p	FGF22	0.131
hsa-miR-542-5p	AMBP	0.0
hsa-miR-19b-3p	FGF22	0.0
hsa-miR-19b-3p	AMBP	0.0
hsa-miR-1231	AMBP	0.0
hsa-miR-1231	FGF22	1.047
hsa-miR-4255	AMBP	0.316
hsa-miR-4255	FGF22	1.141
hsa-miR-675-5p	AMBP	0.0
hsa-miR-675-5p	FGF22	0.0
hsa-miR-199a-5p	FGF22	0.159
hsa-miR-199a-5p	AMBP	0.018
hsa-miR-513b-5p	AMBP	0.0
hsa-miR-513b-5p	FGF22	0.0
hsa-miR-4455	AMBP	0.0
hsa-miR-4455	FGF22	0.0
hsa-miR-3682-3p	AMBP	0.0
hsa-miR-3682-3p	FGF22	0.549
hsa-miR-6828-5p	FGF22	0.0
hsa-miR-6828-5p	AMBP	0.0
hsa-miR-6718-5p	FGF22	0.0
hsa-miR-6718-5p	AMBP	0.005
hsa-miR-939-3p	AMBP	0.69
hsa-miR-939-3p	FGF22	0.765
hsa-miR-339-3p	FGF22	0.0
hsa-miR-339-3p	AMBP	0.0
hsa-miR-630	FGF22	0.0
hsa-miR-630	AMBP	0.0
hsa-miR-4739	FGF22	0.0
hsa-miR-4739	AMBP	0.0
hsa-miR-1246	FGF22	0.137
hsa-miR-1246	AMBP	0.0
hsa-miR-600	AMBP	0.204
hsa-miR-600	FGF22	0.0
hsa-miR-3135b	AMBP	0.011
hsa-miR-3135b	FGF22	0.297
hsa-miR-129-1-3p	AMBP	0.0
hsa-miR-129-1-3p	FGF22	0.0
hsa-miR-4268	AMBP	0.296
hsa-miR-4268	FGF22	0.0
hsa-miR-876-5p	FGF22	0.0
hsa-miR-876-5p	AMBP	0.0
hsa-miR-3145-5p	FGF22	0.061
hsa-miR-3145-5p	AMBP	0.0
hsa-miR-582-5p	AMBP	0.175
hsa-miR-582-5p	FGF22	0.0
hsa-miR-1470	FGF22	0.649
hsa-miR-1470	AMBP	0.787
hsa-miR-4419b	AMBP	0.0
hsa-miR-4419b	FGF22	1.634
hsa-miR-4291	AMBP	1.393
hsa-miR-4291	FGF22	0.693
hsa-miR-766-5p	AMBP	0.0
hsa-miR-766-5p	FGF22	0.0
hsa-miR-1271-3p	FGF22	0.0
hsa-miR-1271-3p	AMBP	0.0
hsa-miR-200c-3p	AMBP	0.0
hsa-miR-200c-3p	FGF22	0.0
hsa-miR-549a	AMBP	0.0
hsa-miR-549a	FGF22	0.0
hsa-miR-4721	FGF22	0.406
hsa-miR-4721	AMBP	0.0
hsa-miR-6810-5p	AMBP	0.0
hsa-miR-6810-5p	FGF22	0.0
hsa-miR-6853-5p	AMBP	0.0
hsa-miR-6853-5p	FGF22	0.0
hsa-miR-4744	AMBP	0.0
hsa-miR-4744	FGF22	0.0
hsa-miR-3670	AMBP	0.0
hsa-miR-3670	FGF22	0.0
hsa-miR-3925-3p	AMBP	0.421
hsa-miR-3925-3p	FGF22	0.26
hsa-miR-17-3p	AMBP	0.42
hsa-miR-17-3p	FGF22	0.0
hsa-miR-4652-3p	FGF22	0.313
hsa-miR-4652-3p	AMBP	0.0
hsa-miR-5585-5p	FGF22	0.0
hsa-miR-5585-5p	AMBP	0.375
hsa-miR-196b-3p	AMBP	0.0
hsa-miR-196b-3p	FGF22	0.0
hsa-miR-196a-3p	AMBP	0.0
hsa-miR-196a-3p	FGF22	0.0
hsa-miR-3200-3p	AMBP	0.0
hsa-miR-3200-3p	FGF22	0.388
hsa-miR-320e	AMBP	0.0
hsa-miR-320e	FGF22	0.0
hsa-miR-4804-3p	FGF22	0.034
hsa-miR-4804-3p	AMBP	0.0
hsa-miR-548ba	AMBP	0.087
hsa-miR-548ba	FGF22	0.0
hsa-miR-3689a-3p	FGF22	0.465
hsa-miR-3689a-3p	AMBP	0.0
hsa-miR-548d-3p	AMBP	0.0
hsa-miR-548d-3p	FGF22	0.0
hsa-miR-8080	FGF22	0.324
hsa-miR-8080	AMBP	0.0
hsa-miR-1912	FGF22	0.0
hsa-miR-1912	AMBP	0.0
hsa-miR-4316	FGF22	1.305
hsa-miR-4316	AMBP	0.57
hsa-miR-548az-5p	AMBP	0.0
hsa-miR-548az-5p	FGF22	0.0
hsa-miR-4690-5p	FGF22	0.0
hsa-miR-4690-5p	AMBP	0.17
hsa-miR-4717-5p	AMBP	0.0
hsa-miR-4717-5p	FGF22	0.0
hsa-miR-3678-3p	AMBP	0.0
hsa-miR-3678-3p	FGF22	0.288
hsa-miR-3194-5p	FGF22	0.379
hsa-miR-3194-5p	AMBP	0.0
hsa-miR-605-3p	AMBP	0.0
hsa-miR-605-3p	FGF22	0.175
hsa-miR-3591-3p	FGF22	0.0
hsa-miR-3591-3p	AMBP	0.0
hsa-miR-4706	AMBP	0.0
hsa-miR-4706	FGF22	0.0
hsa-miR-4725-3p	AMBP	0.009
hsa-miR-4725-3p	FGF22	0.2
hsa-miR-4432	AMBP	0.37
hsa-miR-4432	FGF22	0.189
hsa-miR-7849-3p	FGF22	0.0
hsa-miR-7849-3p	AMBP	0.093
hsa-miR-503-3p	AMBP	0.105
hsa-miR-503-3p	FGF22	0.107
hsa-miR-6731-3p	AMBP	0.281
hsa-miR-6731-3p	FGF22	0.387
hsa-miR-1307-3p	FGF22	0.0
hsa-miR-1307-3p	AMBP	0.0
hsa-miR-6859-3p	AMBP	0.0
hsa-miR-6859-3p	FGF22	0.0
hsa-miR-376a-3p	FGF22	0.108
hsa-miR-376a-3p	AMBP	0.0
hsa-miR-5000-5p	AMBP	0.165
hsa-miR-5000-5p	FGF22	0.825
hsa-miR-3065-5p	AMBP	0.0
hsa-miR-3065-5p	FGF22	0.0
hsa-miR-6822-3p	AMBP	0.0
hsa-miR-6822-3p	FGF22	0.0
hsa-miR-8086	AMBP	0.404
hsa-miR-8086	FGF22	0.268
hsa-miR-125b-2-3p	AMBP	0.0
hsa-miR-125b-2-3p	FGF22	0.0
hsa-miR-548am-5p	AMBP	0.0
hsa-miR-548am-5p	FGF22	0.0
hsa-miR-323b-3p	AMBP	0.0
hsa-miR-323b-3p	FGF22	0.122
hsa-miR-4489	AMBP	0.261
hsa-miR-4489	FGF22	0.419
hsa-miR-6862-3p	AMBP	0.0
hsa-miR-6862-3p	FGF22	0.063
hsa-miR-194-3p	FGF22	0.0
hsa-miR-194-3p	AMBP	0.003
hsa-miR-6772-5p	AMBP	0.0
hsa-miR-6772-5p	FGF22	0.0
hsa-miR-223-5p	AMBP	0.107
hsa-miR-223-5p	FGF22	0.0
hsa-miR-569	AMBP	0.0
hsa-miR-569	FGF22	0.0
hsa-miR-4680-5p	AMBP	0.0
hsa-miR-4680-5p	FGF22	0.0
hsa-miR-1914-3p	FGF22	0.458
hsa-miR-1914-3p	AMBP	0.225
hsa-miR-4740-3p	FGF22	0.616
hsa-miR-4740-3p	AMBP	0.0
hsa-miR-518b	FGF22	0.0
hsa-miR-518b	AMBP	0.0
hsa-miR-504-3p	AMBP	0.842
hsa-miR-504-3p	FGF22	0.234
hsa-miR-149-3p	FGF22	0.09
hsa-miR-149-3p	AMBP	0.0
hsa-miR-26b-5p	AMBP	0.0
hsa-miR-26b-5p	FGF22	0.198
hsa-miR-4758-5p	FGF22	0.0
hsa-miR-4758-5p	AMBP	0.0
hsa-miR-5708	AMBP	0.0
hsa-miR-5708	FGF22	0.833
hsa-miR-573	AMBP	0.0
hsa-miR-573	FGF22	0.0
hsa-miR-670-3p	AMBP	0.119
hsa-miR-670-3p	FGF22	0.172
hsa-miR-1236-3p	FGF22	0.299
hsa-miR-1236-3p	AMBP	0.183
hsa-miR-3912-5p	AMBP	0.0
hsa-miR-3912-5p	FGF22	0.012
hsa-miR-3686	AMBP	0.0
hsa-miR-4783-5p	AMBP	0.0
hsa-miR-4783-5p	FGF22	0.345
hsa-miR-660-3p	AMBP	0.0
hsa-miR-660-3p	FGF22	0.576
hsa-miR-3655	AMBP	0.431
hsa-miR-3655	FGF22	0.416
hsa-miR-4720-3p	AMBP	0.0
hsa-miR-4720-3p	FGF22	0.0
hsa-miR-1202	FGF22	0.24
hsa-miR-1202	AMBP	0.0
hsa-miR-3160-5p	FGF22	0.417
hsa-miR-3160-5p	AMBP	0.123
hsa-miR-765	AMBP	0.0
hsa-miR-765	FGF22	0.834
hsa-miR-628-3p	AMBP	0.145
hsa-miR-628-3p	FGF22	0.327
hsa-miR-3687	FGF22	0.0
hsa-miR-532-5p	AMBP	0.0
hsa-miR-532-5p	FGF22	0.0
hsa-miR-3131	FGF22	0.0
hsa-miR-3131	AMBP	0.0
hsa-miR-296-5p	FGF22	0.508
hsa-miR-296-5p	AMBP	0.0
hsa-miR-378a-5p	FGF22	0.2
hsa-miR-378a-5p	AMBP	0.085
hsa-miR-6769a-3p	FGF22	0.263
hsa-miR-6769a-3p	AMBP	0.179
hsa-miR-6802-5p	FGF22	0.0
hsa-miR-6802-5p	AMBP	0.018
hsa-miR-1911-5p	FGF22	0.0
hsa-miR-1911-5p	AMBP	0.0
hsa-miR-6128	FGF22	0.0
hsa-miR-6128	AMBP	0.0
hsa-miR-20a-5p	FGF22	0.0
hsa-miR-20a-5p	AMBP	0.0
hsa-miR-5586-5p	AMBP	0.0
hsa-miR-5586-5p	FGF22	0.0
hsa-miR-4790-5p	AMBP	0.0
hsa-miR-4790-5p	FGF22	0.203
hsa-miR-188-3p	FGF22	0.0
hsa-miR-188-3p	AMBP	0.091
hsa-miR-21-3p	FGF22	0.0
hsa-miR-21-3p	AMBP	0.0
hsa-miR-4654	FGF22	0.0
hsa-miR-4654	AMBP	0.0
hsa-miR-6859-5p	AMBP	0.0
hsa-miR-6859-5p	FGF22	0.193
hsa-miR-550b-2-5p	AMBP	0.094
hsa-miR-550b-2-5p	FGF22	0.0
hsa-miR-6782-5p	AMBP	0.0
hsa-miR-6782-5p	FGF22	0.0
hsa-miR-4527	AMBP	0.129
hsa-miR-4527	FGF22	0.014
hsa-miR-2117	AMBP	0.0
hsa-miR-2117	FGF22	0.961
hsa-miR-2355-3p	AMBP	0.0
hsa-miR-2355-3p	FGF22	0.0
hsa-miR-148b-3p	FGF22	0.0
hsa-miR-148b-3p	AMBP	0.0
hsa-miR-6864-3p	FGF22	0.187
hsa-miR-6864-3p	AMBP	0.0
hsa-miR-590-3p	AMBP	0.0
hsa-miR-590-3p	FGF22	0.0
hsa-miR-100-5p	AMBP	0.106
hsa-miR-100-5p	FGF22	0.0
hsa-miR-548u	FGF22	0.0
hsa-miR-548u	AMBP	0.0
hsa-miR-5589-5p	AMBP	0.393
hsa-miR-5589-5p	FGF22	0.487
hsa-miR-6837-3p	FGF22	0.356
hsa-miR-6837-3p	AMBP	0.084
hsa-miR-6774-5p	FGF22	0.0
hsa-miR-6774-5p	AMBP	0.0
hsa-miR-4263	AMBP	0.263
hsa-miR-4263	FGF22	0.303
hsa-miR-8074	AMBP	0.0
hsa-miR-8074	FGF22	0.0
hsa-miR-6808-3p	FGF22	0.0
hsa-miR-6808-3p	AMBP	0.0
hsa-miR-4666a-5p	FGF22	0.0
hsa-miR-4666a-5p	AMBP	0.0
hsa-miR-6743-3p	AMBP	0.199
hsa-miR-6743-3p	FGF22	0.202
hsa-miR-511-5p	AMBP	0.103
hsa-miR-511-5p	FGF22	0.675
hsa-miR-4632-5p	FGF22	0.056
hsa-miR-4632-5p	AMBP	0.0
hsa-miR-301a-3p	AMBP	0.0
hsa-miR-301a-3p	FGF22	0.0
hsa-miR-1200	FGF22	0.24
hsa-miR-1200	AMBP	0.0
hsa-miR-3199	AMBP	0.0
hsa-miR-3199	FGF22	0.0
hsa-miR-152-3p	AMBP	0.0
hsa-miR-152-3p	FGF22	0.11
hsa-miR-361-5p	AMBP	0.0
hsa-miR-361-5p	FGF22	0.0
hsa-miR-1199-3p	FGF22	0.579
hsa-miR-1199-3p	AMBP	0.0
hsa-miR-6751-3p	FGF22	0.292
hsa-miR-6751-3p	AMBP	0.208
hsa-miR-6757-3p	FGF22	0.071
hsa-miR-6757-3p	AMBP	0.403
hsa-miR-6871-5p	AMBP	0.0
hsa-miR-6871-5p	FGF22	0.0
hsa-miR-656-3p	AMBP	0.0
hsa-miR-656-3p	FGF22	0.0
hsa-miR-4728-5p	AMBP	0.0
hsa-miR-4728-5p	FGF22	0.0
hsa-miR-23c	AMBP	0.0
hsa-miR-23c	FGF22	0.0
hsa-miR-4717-3p	FGF22	0.182
hsa-miR-4717-3p	AMBP	0.0
hsa-miR-517c-3p	FGF22	0.0
hsa-miR-517c-3p	AMBP	0.0
hsa-miR-520c-3p	FGF22	0.0
hsa-miR-520c-3p	AMBP	0.0
hsa-miR-6854-5p	AMBP	0.0
hsa-miR-6854-5p	FGF22	0.0
hsa-miR-6849-3p	FGF22	0.446
hsa-miR-6849-3p	AMBP	0.269
hsa-miR-4310	FGF22	0.247
hsa-miR-4310	AMBP	0.429
hsa-miR-5591-5p	AMBP	0.895
hsa-miR-5591-5p	FGF22	0.622
hsa-miR-509-3p	AMBP	0.0
hsa-miR-509-3p	FGF22	0.0
hsa-miR-4277	AMBP	0.0
hsa-miR-4277	FGF22	0.288
hsa-miR-4722-3p	FGF22	0.143
hsa-miR-4722-3p	AMBP	0.258
hsa-miR-6729-5p	FGF22	0.109
hsa-miR-6729-5p	AMBP	0.157
hsa-miR-4496	FGF22	0.123
hsa-miR-4496	AMBP	0.0
hsa-miR-4764-3p	AMBP	0.0
hsa-miR-4764-3p	FGF22	0.0
hsa-miR-4782-5p	AMBP	0.0
hsa-miR-4782-5p	FGF22	0.0
hsa-miR-708-3p	AMBP	0.0
hsa-miR-708-3p	FGF22	0.0
hsa-miR-1323	FGF22	0.0
hsa-miR-1323	AMBP	0.0
hsa-let-7i-5p	AMBP	0.0
hsa-let-7i-5p	FGF22	0.153
hsa-miR-384	FGF22	0.0
hsa-miR-384	AMBP	0.0
hsa-miR-4292	FGF22	0.966
hsa-miR-4292	AMBP	0.564
hsa-miR-1273g-3p	AMBP	0.718
hsa-miR-1273g-3p	FGF22	0.427
hsa-miR-4699-3p	AMBP	0.0
hsa-miR-4699-3p	FGF22	0.038
hsa-miR-500b-3p	AMBP	0.238
hsa-miR-500b-3p	FGF22	0.215
hsa-miR-1252-5p	AMBP	0.0
hsa-miR-1252-5p	FGF22	0.0
hsa-miR-4802-5p	AMBP	0.272
hsa-miR-4802-5p	FGF22	0.0
hsa-miR-4509	AMBP	0.0
hsa-miR-4509	FGF22	0.0
hsa-miR-6090	FGF22	0.734
hsa-miR-6090	AMBP	0.15
hsa-miR-654-3p	FGF22	0.0
hsa-miR-654-3p	AMBP	0.0
hsa-miR-4679	AMBP	0.216
hsa-miR-4679	FGF22	0.0
hsa-miR-429	FGF22	0.0
hsa-miR-429	AMBP	0.0
hsa-miR-584-3p	FGF22	0.144
hsa-miR-584-3p	AMBP	0.528
hsa-miR-508-3p	AMBP	0.0
hsa-miR-508-3p	FGF22	0.0
hsa-miR-4655-5p	FGF22	0.0
hsa-miR-4655-5p	AMBP	0.0
hsa-miR-6808-5p	AMBP	0.0
hsa-miR-6808-5p	FGF22	0.285
hsa-miR-4762-5p	AMBP	0.0
hsa-miR-4762-5p	FGF22	0.249
hsa-miR-6837-5p	AMBP	0.0
hsa-miR-6837-5p	FGF22	0.0
hsa-miR-200b-5p	FGF22	0.076
hsa-miR-200b-5p	AMBP	0.0
hsa-miR-6801-3p	AMBP	0.0
hsa-miR-6801-3p	FGF22	0.763
hsa-miR-548d-5p	AMBP	0.0
hsa-miR-548d-5p	FGF22	0.0
hsa-miR-3157-3p	AMBP	0.0
hsa-miR-3157-3p	FGF22	0.0
hsa-miR-324-5p	AMBP	0.02
hsa-miR-324-5p	FGF22	0.0
hsa-miR-26a-1-3p	AMBP	0.18
hsa-miR-26a-1-3p	FGF22	0.0
hsa-miR-3713	AMBP	0.592
hsa-miR-3713	FGF22	0.0
hsa-miR-4280	FGF22	0.764
hsa-miR-4280	AMBP	0.0
hsa-miR-6743-5p	FGF22	0.0
hsa-miR-6743-5p	AMBP	0.0
hsa-miR-6855-5p	AMBP	0.0
hsa-miR-6855-5p	FGF22	0.0
hsa-miR-1294	FGF22	0.192
hsa-miR-1294	AMBP	0.0
hsa-miR-5696	AMBP	0.422
hsa-miR-5696	FGF22	0.0
hsa-miR-7158-5p	FGF22	0.0
hsa-miR-7158-5p	AMBP	0.0
hsa-miR-548aa	AMBP	0.0
hsa-miR-548aa	FGF22	0.0
hsa-miR-3157-5p	AMBP	0.215
hsa-miR-3157-5p	FGF22	0.194
hsa-miR-154-3p	FGF22	0.0
hsa-miR-154-3p	AMBP	0.0
hsa-miR-122-3p	AMBP	0.0
hsa-miR-122-3p	FGF22	0.0
hsa-miR-1270	FGF22	0.416
hsa-miR-1270	AMBP	0.0
hsa-miR-769-3p	AMBP	0.0
