Function ID	Function Description
606	regulation of nucleotide-binding oligomerization domain containing signaling pathway [GO:0070424]
607	Wnt signaling pathway [GO:0016055]
608	translation [GO:0006412]
609	myelination [GO:0042552]
610	mitotic DNA replication initiation [GO:1902975]
611	cellular response to 2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine [GO:1904317]
612	cellular response to cAMP [GO:0071320]
613	cellular response to fatty acid [GO:0071398]
614	cellular response to gravity [GO:0071258]
615	chemotaxis [GO:0006935]
616	immune response [GO:0006955]
617	inositol trisphosphate biosynthetic process [GO:0032959]
618	negative regulation of blood pressure [GO:0045776]
619	parturition [GO:0007567]
620	phosphatidylinositol-mediated signaling [GO:0048015]
621	positive regulation of cellular extravasation [GO:0002693]
622	positive regulation of gastro-intestinal system smooth muscle contraction [GO:1904306]
623	positive regulation of inositol phosphate biosynthetic process [GO:0060732]
624	positive regulation of interleukin-6 production [GO:0032755]
625	positive regulation of leukocyte tethering or rolling [GO:1903238]
626	positive regulation of maternal process involved in parturition [GO:1904303]
627	positive regulation of neutrophil degranulation [GO:0043315]
628	positive regulation of phospholipase C activity [GO:0010863]
629	positive regulation of sensory perception of pain [GO:1904058]
630	positive regulation of smooth muscle cell proliferation [GO:0048661]
631	positive regulation of transcytosis [GO:1904300]
632	positive regulation of tumor necrosis factor production [GO:0032760]
633	positive regulation of voltage-gated chloride channel activity [GO:1902943]
634	response to dexamethasone [GO:0071548]
635	response to symbiotic bacterium [GO:0009609]
636	transcytosis [GO:0045056]
637	cytoplasmic translation [GO:0002181]
638	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]
639	activation of NF-kappaB-inducing kinase activity [GO:0007250]
640	apoptotic signaling pathway [GO:0097190]
641	cellular chloride ion homeostasis [GO:0030644]
642	endosomal lumen acidification [GO:0048388]
643	extrinsic apoptotic signaling pathway [GO:0097191]
644	extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]
645	inflammatory cell apoptotic process [GO:0006925]
646	necroptotic process [GO:0070266]
647	necroptotic signaling pathway [GO:0097527]
648	negative regulation of angiogenesis [GO:0016525]
649	positive regulation of endothelial cell apoptotic process [GO:2000353]
650	positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]
651	positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]
652	positive regulation of neuron apoptotic process [GO:0043525]
653	positive regulation of phosphatidylserine exposure on apoptotic cell surface [GO:1905782]
654	release of sequestered calcium ion into cytosol by endoplasmic reticulum [GO:1903514]
655	response to growth factor [GO:0070848]
656	retinal cell programmed cell death [GO:0046666]
657	T cell apoptotic process [GO:0070231]
658	cell motility [GO:0048870]
659	phosphatidylinositol 3-kinase signaling [GO:0014065]
660	phosphatidylinositol dephosphorylation [GO:0046856]
661	protein dephosphorylation [GO:0006470]
662	regulation of protein kinase B signaling [GO:0051896]
663	cardiac muscle contraction [GO:0060048]
664	cellular response to reactive oxygen species [GO:0034614]
665	cytoskeleton organization [GO:0007010]
666	muscle filament sliding [GO:0030049]
667	negative regulation of vascular associated smooth muscle cell migration [GO:1904753]
668	negative regulation of vascular associated smooth muscle cell proliferation [GO:1904706]
669	positive regulation of ATPase activity [GO:0032781]
670	positive regulation of cell adhesion [GO:0045785]
671	positive regulation of heart rate by epinephrine [GO:0003065]
672	regulation of heart contraction [GO:0008016]
673	regulation of muscle contraction [GO:0006937]
674	ruffle organization [GO:0031529]
675	ventricular cardiac muscle tissue morphogenesis [GO:0055010]
676	wound healing [GO:0042060]
677	detection of tumor cell [GO:0002355]
678	T cell mediated cytotoxicity directed against tumor cell target [GO:0002419]
679	extracellular matrix organization [GO:0030198]
680	negative regulation of bone resorption [GO:0045779]
681	negative regulation of odontogenesis of dentin-containing tooth [GO:0042489]
682	response to arsenic-containing substance [GO:0046685]
683	response to estrogen [GO:0043627]
684	response to magnesium ion [GO:0032026]
685	skeletal system development [GO:0001501]
686	tRNA modification [GO:0006400]
687	tRNA N2-guanine methylation [GO:0002940]
688	regulation of synaptic transmission, glutamatergic [GO:0051966]
689	B cell receptor signaling pathway [GO:0050853]
690	complement activation, classical pathway [GO:0006958]
691	defense response to bacterium [GO:0042742]
692	phagocytosis, engulfment [GO:0006911]
693	phagocytosis, recognition [GO:0006910]
694	positive regulation of B cell activation [GO:0050871]
695	aortic valve development [GO:0003176]
696	cellular response to growth factor stimulus [GO:0071363]
697	glial cell-neuron signaling [GO:0150098]
698	intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]
699	negative regulation of cardiac muscle hypertrophy [GO:0010614]
700	negative regulation of cell death [GO:0060548]
701	negative regulation of extracellular matrix constituent secretion [GO:0003332]
702	negative regulation of neuroinflammatory response [GO:0150079]
703	negative regulation of neuron death [GO:1901215]
704	positive regulation of apoptotic process involved in morphogenesis [GO:1902339]
705	positive regulation of membrane protein ectodomain proteolysis [GO:0051044]
706	positive regulation of myelination [GO:0031643]
707	positive regulation of oligodendrocyte differentiation [GO:0048714]
708	pulmonary valve development [GO:0003177]
709	regulation of cytokine production involved in immune response [GO:0002718]
710	regulation of myelination [GO:0031641]
711	regulation of neuroinflammatory response [GO:0150077]
712	regulation of RNA biosynthetic process [GO:2001141]
713	regulation of T cell proliferation [GO:0042129]
714	RNA destabilization [GO:0050779]
715	tumor necrosis factor-mediated signaling pathway [GO:0033209]
716	lymphocyte homeostasis [GO:0002260]
717	cell adhesion [GO:0007155]
718	cell maturation [GO:0048469]
719	natural killer cell differentiation [GO:0001779]
720	neutrophil-mediated killing of gram-negative bacterium [GO:0070945]
721	phagocytosis [GO:0006909]
722	positive regulation of interleukin-10 production [GO:0032733]
723	regulation of mitochondrial membrane potential [GO:0051881]
724	regulation of reactive oxygen species metabolic process [GO:2000377]
725	amino acid import across plasma membrane [GO:0089718]
726	enucleate erythrocyte differentiation [GO:0043353]
727	import across plasma membrane [GO:0098739]
728	intracellular cholesterol transport [GO:0032367]
729	lipid droplet organization [GO:0034389]
730	axonemal dynein complex assembly [GO:0070286]
731	sperm axoneme assembly [GO:0007288]
732	UDP-N-acetylglucosamine biosynthetic process [GO:0006048]
733	cytoplasmic sequestering of NF-kappaB [GO:0007253]
734	negative regulation of interleukin-8 production [GO:0032717]
735	positive regulation of ATP biosynthetic process [GO:2001171]
736	positive regulation of blood vessel endothelial cell migration [GO:0043536]
737	positive regulation of endothelial cell chemotaxis [GO:2001028]
738	positive regulation of proton-transporting ATP synthase activity, rotational mechanism [GO:1905273]
739	regulation of cell migration [GO:0030334]
740	regulation of NIK/NF-kappaB signaling [GO:1901222]
741	sequestering of actin monomers [GO:0042989]
742	double-strand break repair [GO:0006302]
743	single strand break repair [GO:0000012]
744	positive regulation of smoothened signaling pathway [GO:0045880]
745	maintenance of unfolded protein involved in ERAD pathway [GO:1904378]
746	melanocyte differentiation [GO:0030318]
747	positive regulation of ERAD pathway [GO:1904294]
748	protein K29-linked deubiquitination [GO:0035523]
749	protein K63-linked deubiquitination [GO:0070536]
750	protein K6-linked deubiquitination [GO:0044313]
751	protein stabilization [GO:0050821]
752	regulation of autophagy [GO:0010506]
753	barbed-end actin filament capping [GO:0051016]
754	cell projection organization [GO:0030030]
755	cellular response to retinoic acid [GO:0071300]
756	negative regulation of actin filament polymerization [GO:0030837]
757	positive regulation of lamellipodium assembly [GO:0010592]
758	positive regulation of neuron projection development [GO:0010976]
759	regulation of actin cytoskeleton organization [GO:0032956]
760	regulation of lamellipodium assembly [GO:0010591]
761	regulation of microvillus length [GO:0032532]
762	G1/S transition of mitotic cell cycle [GO:0000082]
763	protein K11-linked deubiquitination [GO:0035871]
764	protein K48-linked deubiquitination [GO:0071108]
765	regulation of DNA replication [GO:0006275]
766	aggrephagy [GO:0035973]
767	autophagosome maturation [GO:0097352]
768	cellular response to hypoxia [GO:0071456]
769	negative regulation of store-operated calcium channel activity [GO:1901340]
770	positive regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903071]
771	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902175]
772	regulation of protein ubiquitination [GO:0031396]
773	response to endoplasmic reticulum stress [GO:0034976]
774	ubiquitin-dependent ERAD pathway [GO:0030433]
775	SNARE complex assembly [GO:0035493]
776	adipose tissue development [GO:0060612]
777	cellular response to gonadotropin-releasing hormone [GO:0097211]
778	multicellular organismal reproductive process [GO:0048609]
779	regulation of apoptotic process [GO:0042981]
780	regulation of ovarian follicle development [GO:2000354]
781	actin cytoskeleton organization [GO:0030036]
782	lamellipodium assembly [GO:0030032]
783	modification of postsynaptic actin cytoskeleton [GO:0098885]
784	oligodendrocyte development [GO:0014003]
785	mRNA splicing, via spliceosome [GO:0000398]
786	RNA splicing, via transesterification reactions [GO:0000375]
787	homologous chromosome pairing at meiosis [GO:0007129]
788	meiosis I [GO:0007127]
789	positive regulation of DNA recombination [GO:0045911]
790	positive regulation of double-strand break repair [GO:2000781]
791	antigen processing and presentation of endogenous peptide antigen via MHC class Ib [GO:0002476]
792	detection of chemical stimulus involved in sensory perception of bitter taste [GO:0001580]
793	mitochondrial protein catabolic process [GO:0035694]
794	mitochondrial protein processing [GO:0034982]
795	mitochondrion organization [GO:0007005]
796	protein hexamerization [GO:0034214]
797	protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]
798	regulation of cell morphogenesis [GO:0022604]
799	protein K48-linked ubiquitination [GO:0070936]
800	negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]
801	negative regulation of MAPK cascade [GO:0043409]
802	negative regulation of release of cytochrome c from mitochondria [GO:0090201]
803	positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]
804	positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]
805	proteasome regulatory particle assembly [GO:0070682]
806	lysosome organization [GO:0007040]
807	negative regulation of ERBB4 signaling pathway [GO:0120154]
808	negative regulation of neuron projection development [GO:0010977]
809	negative regulation of protein processing [GO:0010955]
810	odontogenesis [GO:0042476]
811	peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity [GO:1990264]
812	regulation of neuronal synaptic plasticity [GO:0048168]
813	regulation of ARF protein signal transduction [GO:0032012]
814	'de novo' IMP biosynthetic process [GO:0006189]
