	ID_Geneontology_cellularcomponent__	Gene ontology (cellular component)
163	RNA polymerase II, core complex [GO:0005665]	163
164	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]	164
165	anchored component of plasma membrane [GO:0046658]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	165
166	cytosol [GO:0005829]; extracellular exosome [GO:0070062]	166
167	cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]	167
168	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]; ribosome [GO:0005840]	168
169	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	169
170	cytosol [GO:0005829]; phosphatidylinositol 3-kinase complex [GO:0005942]	170
171	cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; extrinsic component of endosome membrane [GO:0031313]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosome [GO:0005764]	171
172	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; filamentous actin [GO:0031941]; microtubule organizing center [GO:0005815]	172
173	nuclear speck [GO:0016607]	173
174	chromatin [GO:0000785]; intermediate filament cytoskeleton [GO:0045111]; intracellular membrane-bounded organelle [GO:0043231]; nBAF complex [GO:0071565]; npBAF complex [GO:0071564]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; SWI/SNF complex [GO:0016514]	174
175	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]	175
176	chromatin [GO:0000785]; cohesin complex [GO:0008278]; nucleus [GO:0005634]	176
177	chromosome, telomeric region [GO:0000781]; condensed nuclear chromosome [GO:0000794]; endosome membrane [GO:0010008]; integral component of nuclear inner membrane [GO:0005639]; meiotic nuclear membrane microtubule tethering complex [GO:0034993]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]	177
178	cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; sarcolemma [GO:0042383]	178
179	extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; succinate-CoA ligase complex [GO:0042709]	179
180	extracellular space [GO:0005615]	180
181	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	181
182	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	182
183	cytosol [GO:0005829]; SCF ubiquitin ligase complex [GO:0019005]	183
184	mitochondrial outer membrane [GO:0005741]	184
185	extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	185
186	cell cortex [GO:0005938]; cytoplasmic vesicle membrane [GO:0030659]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; integral component of mitochondrial outer membrane [GO:0031307]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	186
187	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane [GO:0016020]; plasma membrane [GO:0005886]	187
188	chromatin [GO:0000785]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]	188
189	actin cytoskeleton [GO:0015629]; cell surface [GO:0009986]; cytosol [GO:0005829]; intrinsic component of the cytoplasmic side of the plasma membrane [GO:0031235]; protein-containing complex [GO:0032991]; spectrin [GO:0008091]; spectrin-associated cytoskeleton [GO:0014731]	189
190	mitochondrial degradosome [GO:0045025]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	190
191	T cell receptor complex [GO:0042101]	191
192	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	192
193	adherens junction [GO:0005912]; cell-substrate junction [GO:0030055]; centrosome [GO:0005813]; cytosol [GO:0005829]; flotillin complex [GO:0016600]; focal adhesion [GO:0005925]; membrane raft [GO:0045121]; nuclear matrix [GO:0016363]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; stress fiber [GO:0001725]; zonula adherens [GO:0005915]	193
194	cytosol [GO:0005829]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; trans-Golgi network transport vesicle [GO:0030140]	194
195	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; protein-containing complex [GO:0032991]	195
196	cell cortex [GO:0005938]; clathrin-coated pit [GO:0005905]; cortical actin cytoskeleton [GO:0030864]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lamellipodium [GO:0030027]; mitotic spindle midzone [GO:1990023]; plasma membrane [GO:0005886]; podosome [GO:0002102]; ruffle [GO:0001726]; site of polarized growth [GO:0030427]; voltage-gated potassium channel complex [GO:0008076]	196
197	extracellular exosome [GO:0070062]	197
198	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; phenylalanine-tRNA ligase complex [GO:0009328]	198
199	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; lysosome [GO:0005764]; nuclear body [GO:0016604]	199
200	cell body [GO:0044297]; integral component of membrane [GO:0016021]	200
201	integral component of plasma membrane [GO:0005887]; lysosomal membrane [GO:0005765]	201
202	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; mitochondrial outer membrane [GO:0005741]; plasma membrane [GO:0005886]	202
203	exocytic vesicle [GO:0070382]; plasma membrane [GO:0005886]	203
204	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; protein-containing complex [GO:0032991]	204
205	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	205
206	Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; transcription factor TFIID complex [GO:0005669]	206
207	endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]	207
208	anchored component of membrane [GO:0031225]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; plasma membrane [GO:0005886]	208
209	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; lysosome [GO:0005764]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]	209
210	cell body [GO:0044297]; chaperonin-containing T-complex [GO:0005832]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]; zona pellucida receptor complex [GO:0002199]	210
211	cytosol [GO:0005829]; nucleolus [GO:0005730]	211
212	chaperonin-containing T-complex [GO:0005832]; cytosol [GO:0005829]	212
213	central element [GO:0000801]; chromosome [GO:0005694]	213
214	cytoplasm [GO:0005737]; transcription factor TFIIA complex [GO:0005672]	214
215	chromosome [GO:0005694]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-DNA complex [GO:0032993]; RNA polymerase II transcription regulator complex [GO:0090575]; transcription factor TFIID complex [GO:0005669]; transcription preinitiation complex [GO:0097550]	215
216	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]	216
217	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	217
218	CA3 pyramidal cell dendrite [GO:0097442]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; hippocampal mossy fiber expansion [GO:1990026]; neuronal cell body [GO:0043025]	218
219	basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; interstitial matrix [GO:0005614]; membrane [GO:0016020]; perisynaptic extracellular matrix [GO:0098966]	219
220	Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]	220
221	autophagosome [GO:0005776]; recycling endosome [GO:0055037]	221
222	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]	222
223	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; tRNA (m1A) methyltransferase complex [GO:0031515]	223
224	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endoplasmic reticulum membrane [GO:0005789]; integral component of Golgi membrane [GO:0030173]; nuclear membrane [GO:0031965]	224
225	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; mitotic spindle pole [GO:0097431]; nuclear body [GO:0016604]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pericentriolar material [GO:0000242]	225
226	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; microvillus [GO:0005902]; plasma membrane [GO:0005886]	226
227	extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	227
228	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	228
229	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nuclear envelope lumen [GO:0005641]; perinuclear region of cytoplasm [GO:0048471]	229
230	extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]	230
231	calcium channel complex [GO:0034704]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]	231
232	extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	232
233	cytoplasm [GO:0005737]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; mitochondrion [GO:0005739]; peroxisomal membrane [GO:0005778]; protein-containing complex [GO:0032991]	233
234	beta-catenin-TCF complex [GO:1990907]; nucleoplasm [GO:0005654]	234
235	cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]	235
236	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; small ribosomal subunit [GO:0015935]; vesicle [GO:0031982]	236
237	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; methylosome [GO:0034709]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; small nuclear ribonucleoprotein complex [GO:0030532]; SMN-Sm protein complex [GO:0034719]; spliceosomal complex [GO:0005681]; U12-type spliceosomal complex [GO:0005689]; U1 snRNP [GO:0005685]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U4 snRNP [GO:0005687]; U7 snRNP [GO:0005683]	237
238	mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	238
239	polysome [GO:0005844]	239
240	mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]	240
241	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739]	241
242	nucleus [GO:0005634]; replication fork [GO:0005657]	242
243	nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]	243
244	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]	244
245	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nuclear membrane [GO:0031965]; ribosome [GO:0005840]	245
246	endosome membrane [GO:0010008]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]	246
247	mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]	247
248	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; small nuclear ribonucleoprotein complex [GO:0030532]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U4 snRNP [GO:0005687]; U5 snRNP [GO:0005682]	248
249	extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]	249
250	apical plasma membrane [GO:0016324]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	250
251	extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	251
252	integral component of plasma membrane [GO:0005887]	252
253	cytoplasm [GO:0005737]; focal adhesion [GO:0005925]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	253
254	apical plasma membrane [GO:0016324]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	254
255	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]	255
256	cytosol [GO:0005829]; endosome membrane [GO:0010008]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]	256
257	cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	257
258	cell surface [GO:0009986]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]	258
259	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; Ssh1 translocon complex [GO:0071261]	259
260	catalytic complex [GO:1902494]; condensed nuclear chromosome [GO:0000794]; endoplasmic reticulum [GO:0005783]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; synaptonemal complex [GO:0000795]	260
261	axonemal microtubule [GO:0005879]; centriole [GO:0005814]; ciliary basal body [GO:0036064]; cytoskeleton [GO:0005856]; sperm flagellum [GO:0036126]	261
262	axon [GO:0030424]; cell division site [GO:0032153]; dendritic spine [GO:0043197]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; microtubule cytoskeleton [GO:0015630]; postsynaptic specialization of symmetric synapse [GO:0099629]; septin complex [GO:0031105]; septin ring [GO:0005940]; stress fiber [GO:0001725]	262
263	axon [GO:0030424]; cell surface [GO:0009986]; GABA-ergic synapse [GO:0098982]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic membrane [GO:0099055]; integral component of presynaptic membrane [GO:0099056]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]	263
