	ID_Geneontology_molecularfunction__	Gene ontology (molecular function)
188	actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; profilin binding [GO:0005522]	188
189	UFM1 conjugating enzyme activity [GO:0061657]; UFM1 transferase activity [GO:0071568]	189
190	ATP binding [GO:0005524]; phenylalanine-tRNA ligase activity [GO:0004826]; RNA binding [GO:0003723]; tRNA binding [GO:0000049]	190
191	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819]; GTPase activator activity [GO:0005096]; leucine-tRNA ligase activity [GO:0004823]	191
192	mechanosensitive ion channel activity [GO:0008381]	192
193	calcium-dependent phospholipid binding [GO:0005544]; calcium ion binding [GO:0005509]; clathrin binding [GO:0030276]; phosphatidylserine binding [GO:0001786]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]	193
194	ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819]; protein kinase binding [GO:0019901]; protein kinase inhibitor activity [GO:0004860]	194
195	bitter taste receptor activity [GO:0033038]; G protein-coupled receptor activity [GO:0004930]; taste receptor activity [GO:0008527]	195
196	ATP binding [GO:0005524]; tryptophan-tRNA ligase activity [GO:0004830]	196
197	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; valine-tRNA ligase activity [GO:0004832]	197
198	protein heterodimerization activity [GO:0046982]; protein N-terminus binding [GO:0047485]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; TBP-class protein binding [GO:0017025]; thyroid hormone receptor binding [GO:0046966]; transcription coactivator activity [GO:0003713]; vitamin D receptor binding [GO:0042809]	198
199	bitter taste receptor activity [GO:0033038]; G protein-coupled receptor activity [GO:0004930]	199
200	DNA binding [GO:0003677]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding involved in posttranscriptional gene silencing [GO:1903231]; RNA binding [GO:0003723]	200
201	ATP binding [GO:0005524]; protein folding chaperone [GO:0044183]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]	201
202	RNA binding [GO:0003723]; tRNA (guanine) methyltransferase activity [GO:0016423]	202
203	ATP binding [GO:0005524]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]	203
204	DNA binding [GO:0003677]; transcription coactivator activity [GO:0003713]	204
205	acetyltransferase activity [GO:0016407]; histone acetyltransferase activity [GO:0004402]; promoter-specific chromatin binding [GO:1990841]; RNA polymerase II complex binding [GO:0000993]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; TBP-class protein binding [GO:0017025]; thyroid hormone receptor binding [GO:0046966]; transcription factor binding [GO:0008134]; zinc ion binding [GO:0008270]	205
206	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]	206
207	chromatin binding [GO:0003682]; methylated histone binding [GO:0035064]; RNA binding [GO:0003723]; transcription coactivator activity [GO:0003713]	207
208	identical protein binding [GO:0042802]; integrin binding [GO:0005178]	208
209	CXCR4 chemokine receptor binding [GO:0031723]	209
210	extracellular matrix structural constituent [GO:0005201]; syndecan binding [GO:0045545]	210
211	enzyme inhibitor activity [GO:0004857]; histone binding [GO:0042393]; histone deacetylase binding [GO:0042826]	211
212	GTPase activator activity [GO:0005096]	212
213	carbohydrate transmembrane transporter activity [GO:0015144]	213
214	GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]	214
215	GTPase activator activity [GO:0005096]; small GTPase binding [GO:0031267]	215
216	histone binding [GO:0042393]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; protein ADP-ribosylase activity [GO:1990404]; zinc ion binding [GO:0008270]	216
217	cadherin binding [GO:0045296]; GTPase activator activity [GO:0005096]; guanyl-nucleotide exchange factor activity [GO:0005085]; PDZ domain binding [GO:0030165]	217
218	protein tyrosine phosphatase activity [GO:0004725]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]	218
219	glutathione binding [GO:0043295]; glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]; prostaglandin-D synthase activity [GO:0004667]; prostaglandin-E synthase activity [GO:0050220]	219
220	cell adhesion molecule binding [GO:0050839]; chondroitin sulfate proteoglycan binding [GO:0035373]; heparin binding [GO:0008201]; protein-containing complex binding [GO:0044877]; protein tyrosine phosphatase activity [GO:0004725]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]	220
221	ATP binding [GO:0005524]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein homodimerization activity [GO:0042803]; protein phosphatase 2A binding [GO:0051721]; protein phosphatase regulator activity [GO:0019888]; protein tyrosine phosphatase activator activity [GO:0008160]; signaling receptor binding [GO:0005102]	221
222	protein prenyltransferase activity [GO:0008318]	222
223	mRNA binding [GO:0003729]; poly-pyrimidine tract binding [GO:0008187]; pre-mRNA binding [GO:0036002]; RNA binding [GO:0003723]	223
224	chromatin binding [GO:0003682]; histone acetyltransferase regulator activity [GO:0035034]; histone binding [GO:0042393]; metal ion binding [GO:0046872]	224
225	identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; protein homodimerization activity [GO:0042803]	225
226	mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]	226
227	calcium ion binding [GO:0005509]; GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]	227
228	metal ion binding [GO:0046872]; RNA binding [GO:0003723]	228
229	metal ion binding [GO:0046872]; protein tag [GO:0031386]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]	229
230	structural constituent of ribosome [GO:0003735]	230
231	DNA binding [GO:0003677]	231
232	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; snRNA binding [GO:0017069]; U1 snRNA binding [GO:0030619]	232
233	ATP binding [GO:0005524]; RNA-3'-phosphate cyclase activity [GO:0003963]; RNA binding [GO:0003723]	233
234	GTPase regulator activity [GO:0030695]	234
235	dipeptide transmembrane transporter activity [GO:0071916]; peptide:proton symporter activity [GO:0015333]; peptidoglycan transmembrane transporter activity [GO:0015647]	235
236	low-affinity sodium:dicarboxylate symporter activity [GO:0015361]; succinate transmembrane transporter activity [GO:0015141]	236
237	potassium:chloride symporter activity [GO:0015379]; sodium:potassium:chloride symporter activity [GO:0008511]	237
238	cation:chloride symporter activity [GO:0015377]; potassium:chloride symporter activity [GO:0015379]	238
239	G protein-coupled receptor activity [GO:0004930]; trace-amine receptor activity [GO:0001594]; trimethylamine receptor activity [GO:1990081]	239
240	G protein-coupled receptor activity [GO:0004930]; trace-amine receptor activity [GO:0001594]	240
241	endopeptidase activity [GO:0004175]; SUMO-specific endopeptidase activity [GO:0070139]; SUMO-specific isopeptidase activity [GO:0070140]	241
242	anion:anion antiporter activity [GO:0015301]; inorganic anion exchanger activity [GO:0005452]; sodium:bicarbonate symporter activity [GO:0008510]; transmembrane transporter activity [GO:0022857]	242
243	C-5 sterol desaturase activity [GO:0000248]; delta7-sterol 5(6)-desaturase activity [GO:0050046]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]	243
244	enzyme activator activity [GO:0008047]; kinase activator activity [GO:0019209]; mitogen-activated protein kinase p38 binding [GO:0048273]; phosphatase activity [GO:0016791]; protein-containing complex binding [GO:0044877]	244
245	beta-1 adrenergic receptor binding [GO:0031697]; identical protein binding [GO:0042802]; signaling receptor complex adaptor activity [GO:0030159]; SMAD binding [GO:0046332]; type II activin receptor binding [GO:0070699]	245
246	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]	246
247	protein transmembrane transporter activity [GO:0008320]; protein-transporting ATPase activity [GO:0015450]	247
248	3-oxo-5-alpha-steroid 4-dehydrogenase activity [GO:0003865]; cholestenone 5-alpha-reductase activity [GO:0047751]; oxidoreductase activity [GO:0016491]; sterol 5-alpha reductase activity [GO:0009917]; testosterone dehydrogenase [NAD(P)] activity [GO:0030283]	248
249	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; molecular adaptor activity [GO:0060090]	249
250	gamma-aminobutyric acid:sodium symporter activity [GO:0005332]; gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; sodium:chloride symporter activity [GO:0015378]	250
251	calcium channel activity [GO:0005262]; protein transmembrane transporter activity [GO:0008320]; ribosome binding [GO:0043022]; signal sequence binding [GO:0005048]	251
252	iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; stearoyl-CoA 9-desaturase activity [GO:0004768]	252
253	protein transmembrane transporter activity [GO:0008320]; ribosome binding [GO:0043022]; signal sequence binding [GO:0005048]	253
254	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	254
255	iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; palmitoyl-CoA 9-desaturase activity [GO:0032896]; stearoyl-CoA 9-desaturase activity [GO:0004768]	255
256	microtubule binding [GO:0008017]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]	256
257	hormone activity [GO:0005179]	257
258	chemoattractant activity [GO:0042056]; cytokine activity [GO:0005125]	258
259	ubiquitin protein ligase binding [GO:0031625]	259
260	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; signaling receptor binding [GO:0005102]	260
261	antioxidant activity [GO:0016209]	261
262	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; double-stranded DNA binding [GO:0003690]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]	262
263	sodium channel regulator activity [GO:0017080]; transmembrane transporter binding [GO:0044325]; voltage-gated ion channel activity [GO:0005244]; voltage-gated sodium channel activity [GO:0005248]; voltage-gated sodium channel activity involved in cardiac muscle cell action potential [GO:0086006]	263
264	chemorepellent activity [GO:0045499]; identical protein binding [GO:0042802]; semaphorin receptor binding [GO:0030215]; signaling receptor activity [GO:0038023]; signaling receptor binding [GO:0005102]; transmembrane signaling receptor activity [GO:0004888]	264
265	chromatin binding [GO:0003682]; histone binding [GO:0042393]	265
266	chemorepellent activity [GO:0045499]; semaphorin receptor binding [GO:0030215]	266
267	signaling receptor binding [GO:0005102]	267
268	chemorepellent activity [GO:0045499]; integrin binding [GO:0005178]; semaphorin receptor binding [GO:0030215]	268
269	ceramide cholinephosphotransferase activity [GO:0047493]; ceramide phosphoethanolamine synthase activity [GO:0002950]; sphingomyelin synthase activity [GO:0033188]	269
270	alpha-glucoside transmembrane transporter activity [GO:0015151]; D-glucose transmembrane transporter activity [GO:0055056]; glucose:sodium symporter activity [GO:0005412]; low-affinity glucose:sodium symporter activity [GO:0005362]	270
271	amino acid:proton symporter activity [GO:0005280]; amino acid transmembrane transporter activity [GO:0015171]; glycine transmembrane transporter activity [GO:0015187]; L-alanine transmembrane transporter activity [GO:0015180]; L-proline transmembrane transporter activity [GO:0015193]	271
272	NAD transmembrane transporter activity [GO:0051724]	272
273	actin binding [GO:0003779]; ATPase binding [GO:0051117]; calmodulin binding [GO:0005516]; nitric-oxide synthase binding [GO:0050998]; PDZ domain binding [GO:0030165]; sodium channel regulator activity [GO:0017080]; structural molecule activity [GO:0005198]; transmembrane transporter binding [GO:0044325]	273
274	molecular adaptor activity [GO:0060090]	274
275	bile acid transmembrane transporter activity [GO:0015125]; organic anion transmembrane transporter activity [GO:0008514]; sodium-independent organic anion transmembrane transporter activity [GO:0015347]	275
276	serine-type endopeptidase inhibitor activity [GO:0004867]	276
277	bile acid transmembrane transporter activity [GO:0015125]; sodium-independent organic anion transmembrane transporter activity [GO:0015347]; thyroid hormone transmembrane transporter activity [GO:0015349]	277
278	histone-lysine N-methyltransferase activity [GO:0018024]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II complex binding [GO:0000993]; RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding [GO:0001162]	278
279	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity [GO:0001217]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]	279
280	phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]	280
281	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]	281
282	histone binding [GO:0042393]; transcription coactivator activity [GO:0003713]	282
283	phosphatase binding [GO:0019902]; phosphatidylinositol binding [GO:0035091]	283
